text,category,concept,dataset_type
How do I compute Sorting Algorithms step by step?,Calculation,Sorting Algorithms,SYNTHETIC
I need a refresher on Arrays to understand Queue Implementation also,Prerequisite,Queue Implementation,SYNTHETIC
I understand the steps but not why Graph Traversal is important,Conceptual,Graph Traversal,SYNTHETIC
I don't have the background for Recursion also,Prerequisite,Recursion,SYNTHETIC
What does the term Recursion mean? basically,Terminology,Recursion,SYNTHETIC
I can't figure out the process for Binary Search sort of,Procedural,Binary Search,SYNTHETIC
I keep getting the wrong answer for Queue Implementation calculations,Calculation,Queue Implementation,SYNTHETIC
The theory behind Graph Traversal makes no sense to me kind of,Conceptual,Graph Traversal,SYNTHETIC
I keep getting the wrong answer for Recursion calculations,Calculation,Recursion,SYNTHETIC
The procedure for Big O Notation is confusing kind of,Procedural,Big O Notation,SYNTHETIC
How do I compute Binary Trees step by step?,Calculation,Binary Trees,SYNTHETIC
I understand Big O Notation but don't know when to apply it,Application,Big O Notation,SYNTHETIC
I don't get why Recursion works that way,Conceptual,Recursion,SYNTHETIC
My foundation in Loops is too weak for Pointer Arithmetic basically,Prerequisite,Pointer Arithmetic,SYNTHETIC
I need a refresher on Basic Math to understand Dynamic Programming,Prerequisite,Dynamic Programming,SYNTHETIC
The notation for Dynamic Programming is confusing,Terminology,Dynamic Programming,SYNTHETIC
My math for Queue Implementation doesn't match the expected result,Calculation,Queue Implementation,SYNTHETIC
What method should I use for Hash Tables?,Procedural,Hash Tables,SYNTHETIC
The notation for Hash Tables is confusing sort of,Terminology,Hash Tables,SYNTHETIC
What's the symbol for Binary Trees?,Terminology,Binary Trees,SYNTHETIC
How do I write the code for Graph Traversal?,Procedural,Graph Traversal,SYNTHETIC
I can't derive the formula for Dynamic Programming,Calculation,Dynamic Programming,SYNTHETIC
I don't get why Hash Tables works that way,Conceptual,Hash Tables,SYNTHETIC
I don't have the background for Big O Notation,Prerequisite,Big O Notation,SYNTHETIC
What are the steps for Big O Notation?,Procedural,Big O Notation,SYNTHETIC
The procedure for Binary Search is confusing also,Procedural,Binary Search,SYNTHETIC
My math for Heap Sort doesn't match the expected result kind of,Calculation,Heap Sort,SYNTHETIC
I can't derive the formula for Pointer Arithmetic sort of,Calculation,Pointer Arithmetic,SYNTHETIC
I don't understand what Queue Implementation means,Conceptual,Queue Implementation,SYNTHETIC
Too much jargon in the Sorting Algorithms section,Terminology,Sorting Algorithms,SYNTHETIC
I forgot the basics needed for Queue Implementation,Prerequisite,Queue Implementation,SYNTHETIC
When would I actually need Sorting Algorithms? kind of,Application,Sorting Algorithms,SYNTHETIC
How is Heap Sort used in practice? kind of,Application,Heap Sort,SYNTHETIC
I understand the steps but not why Queue Implementation is important,Conceptual,Queue Implementation,SYNTHETIC
I don't get why Binary Search works that way,Conceptual,Binary Search,SYNTHETIC
I know what Dynamic Programming is but can't do it also,Procedural,Dynamic Programming,SYNTHETIC
What's the difference between Hash Tables and Probability?,Conceptual,Hash Tables,SYNTHETIC
The theory behind Linked Lists makes no sense to me,Conceptual,Linked Lists,SYNTHETIC
What does the term Queue Implementation mean?,Terminology,Queue Implementation,SYNTHETIC
